entry_time,exit_time,side,entry_price,exit_price,sl_price,tp_price,pnl,win,balance,drawdown_pct
2026-03-12 06:30:00+00:00,2026-03-12 13:45:00+00:00,BUY,5174.2998046875,5160.236562750136,5160.236562750136,5202.426288562228,-17.5632,0,99982.44,0.0176
2026-03-13 14:30:00+00:00,2026-03-13 14:45:00+00:00,SELL,5084.5,5044.0158171197445,5104.742091440128,5044.0158171197445,36.9842,1,100019.42,0.0
2026-03-16 07:15:00+00:00,2026-03-16 10:00:00+00:00,SELL,5006.60009765625,4975.129664251991,5022.335314358379,4975.129664251991,27.9704,1,100047.39,0.0
2026-03-17 13:30:00+00:00,2026-03-17 13:45:00+00:00,BUY,5032.7001953125,5016.585453246537,5016.585453246537,5064.929679444424,-19.6147,0,100027.78,0.0196
2026-03-18 00:00:00+00:00,2026-03-18 01:00:00+00:00,BUY,5014.0,5004.635957300808,5004.635957300808,5032.728085398385,-12.864,0,100014.91,0.0325
2026-03-18 08:15:00+00:00,2026-03-18 10:30:00+00:00,SELL,4993.2001953125,4967.093605948522,5006.253489994489,4967.093605948522,22.6066,1,100037.52,0.0099
2026-03-19 05:30:00+00:00,2026-03-19 06:30:00+00:00,SELL,4835.0,4808.278704668861,4848.36064766557,4808.278704668861,23.2213,1,100060.74,0.0
2026-03-20 08:00:00+00:00,2026-03-20 08:45:00+00:00,BUY,4717.0,4694.021625310307,4694.021625310307,4762.956749379387,-26.4784,0,100034.26,0.0265
2026-03-23 11:00:00+00:00,2026-03-23 11:15:00+00:00,BUY,4458.5,4366.940851835961,4366.940851835961,4641.618296328076,-95.0591,0,99939.2,0.1215
2026-03-24 00:30:00+00:00,2026-03-24 06:15:00+00:00,SELL,4346.5,4395.052708689484,4395.052708689484,4249.394582621034,-52.0527,0,99887.15,0.1735
2026-03-24 12:30:00+00:00,2026-03-24 14:15:00+00:00,SELL,4368.89990234375,4411.594962223232,4411.594962223232,4283.509782584785,-46.1951,0,99840.96,0.2197
2026-03-24 14:45:00+00:00,2026-03-24 17:30:00+00:00,BUY,4416.2998046875,4375.190139836628,4375.190139836628,4498.519134389245,-44.6097,0,99796.35,0.2642
2026-03-24 20:15:00+00:00,2026-03-24 23:30:00+00:00,BUY,4456.89990234375,4532.38114717557,4419.1592799278405,4532.38114717557,71.9812,1,99868.33,0.1923
2026-03-25 08:15:00+00:00,2026-03-25 09:45:00+00:00,BUY,4565.2998046875,4543.835331091803,4543.835331091803,4608.228751878894,-24.9645,0,99843.36,0.2172
2026-03-25 09:45:00+00:00,2026-03-25 11:15:00+00:00,SELL,4550.39990234375,4573.4271953292555,4573.4271953292555,4504.345316372738,-26.5273,0,99816.83,0.2438
2026-03-25 13:45:00+00:00,2026-03-25 14:45:00+00:00,SELL,4543.2998046875,4573.522147913886,4573.522147913886,4482.855118234726,-33.7223,0,99783.11,0.2775
2026-03-26 13:45:00+00:00,2026-03-26 16:15:00+00:00,BUY,4450.10009765625,4420.352048037226,4420.352048037226,4509.5961968942975,-33.248,0,99749.86,0.3107
