timestamp,open,high,low,close,volume
2026-01-15T05:00:00,4595.7001953125,4596.60009765625,4584.60009765625,4596.5,2383
2026-01-15T05:30:00,4597.0,4602.60009765625,4584.89990234375,4599.10009765625,3706
2026-01-15T06:00:00,4598.89990234375,4614.0,4597.39990234375,4607.89990234375,3906
2026-01-15T06:30:00,4607.60009765625,4616.39990234375,4604.39990234375,4614.5,3023
2026-01-15T07:00:00,4614.89990234375,4618.0,4610.2998046875,4614.7998046875,2537
2026-01-15T07:30:00,4615.0,4615.7998046875,4603.5,4606.10009765625,2843
2026-01-15T08:00:00,4606.39990234375,4610.5,4602.2001953125,4606.2998046875,3828
2026-01-15T08:30:00,4606.2001953125,4611.5,4603.2001953125,4608.2001953125,2369
2026-01-15T09:00:00,4608.10009765625,4609.7998046875,4604.60009765625,4608.7001953125,1968
2026-01-15T09:30:00,4608.89990234375,4617.2001953125,4607.0,4616.89990234375,3985
2026-01-15T10:00:00,4616.7001953125,4620.10009765625,4613.39990234375,4616.2001953125,4443
2026-01-15T10:30:00,4616.2001953125,4624.89990234375,4614.39990234375,4624.2001953125,2861
2026-01-15T11:00:00,4624.2998046875,4625.89990234375,4621.2998046875,4623.39990234375,2879
2026-01-15T11:30:00,4623.39990234375,4627.0,4619.60009765625,4623.39990234375,2551
2026-01-15T12:00:00,4623.2998046875,4624.89990234375,4618.0,4620.7001953125,2572
2026-01-15T12:30:00,4620.60009765625,4622.7998046875,4615.7001953125,4617.89990234375,2417
2026-01-15T13:00:00,4618.0,4620.2001953125,4606.2998046875,4609.89990234375,5106
2026-01-15T13:30:00,4609.39990234375,4609.7001953125,4584.0,4591.60009765625,16223
2026-01-15T14:00:00,4591.60009765625,4610.60009765625,4586.2998046875,4606.10009765625,11534
2026-01-15T14:30:00,4606.2001953125,4618.7998046875,4603.89990234375,4614.89990234375,10393
2026-01-15T15:00:00,4614.7998046875,4622.2998046875,4608.2001953125,4621.0,9037
2026-01-15T15:30:00,4621.0,4622.2998046875,4614.0,4620.2001953125,6141
2026-01-15T16:00:00,4620.0,4630.10009765625,4613.0,4616.5,11372
2026-01-15T16:30:00,4616.5,4618.10009765625,4605.7001953125,4610.2001953125,7091
2026-01-15T17:00:00,4610.39990234375,4618.89990234375,4610.2998046875,4615.5,5493
2026-01-15T17:30:00,4615.39990234375,4621.7998046875,4614.89990234375,4621.5,4158
2026-01-15T18:00:00,4621.39990234375,4626.0,4621.2998046875,4624.10009765625,9284
2026-01-15T18:30:00,4624.0,4624.2998046875,4617.60009765625,4622.10009765625,3583
2026-01-15T19:00:00,4622.2001953125,4626.5,4621.89990234375,4622.7001953125,3716
2026-01-15T19:30:00,4622.7001953125,4623.7001953125,4616.7998046875,4620.0,2683
2026-01-15T20:00:00,4620.2001953125,4620.7001953125,4604.2001953125,4609.0,5009
2026-01-15T20:30:00,4609.0,4613.39990234375,4607.39990234375,4609.7998046875,2879
2026-01-15T21:00:00,4609.5,4619.60009765625,4608.5,4618.2001953125,1812
2026-01-15T21:30:00,4618.2001953125,4620.60009765625,4617.7001953125,4620.5,1162
2026-01-15T23:00:00,4621.60009765625,4625.5,4613.10009765625,4613.7001953125,1880
2026-01-15T23:30:00,4613.60009765625,4615.5,4610.60009765625,4614.60009765625,1833
2026-01-16T00:00:00,4614.2001953125,4615.10009765625,4607.5,4611.89990234375,2098
2026-01-16T00:30:00,4611.89990234375,4612.2998046875,4602.39990234375,4604.39990234375,2141
2026-01-16T01:00:00,4603.7998046875,4611.2998046875,4597.7998046875,4609.7998046875,4044
2026-01-16T01:30:00,4609.89990234375,4612.2998046875,4603.2001953125,4604.7998046875,3315
2026-01-16T02:00:00,4604.7998046875,4607.7001953125,4600.10009765625,4603.5,5110
2026-01-16T02:30:00,4603.5,4604.7001953125,4594.60009765625,4598.39990234375,3761
2026-01-16T03:00:00,4598.2001953125,4603.2001953125,4597.60009765625,4598.7998046875,1618
