entry_time,exit_time,side,entry_price,exit_price,sl_price,tp_price,pnl_usd,pnl_pct,win,balance,drawdown_pct
2026-01-29 08:30:00+00:00,2026-01-29 09:30:00+00:00,SELL,5514.2998046875,5553.077856460503,5553.077856460503,5436.743701141494,-1020.0,-1.02,0,98980.0,1.02
2026-01-29 13:30:00+00:00,2026-01-29 14:45:00+00:00,BUY,5555.7998046875,5523.647877310371,5523.647877310371,5620.103659441759,-1009.596,-1.02,0,97970.4,2.0296
2026-01-29 14:45:00+00:00,2026-01-29 15:00:00+00:00,SELL,5525.2998046875,5441.750163686071,5567.074625188215,5441.750163686071,1939.814,1.98,1,99910.22,0.0898
2026-02-05 02:00:00+00:00,2026-02-05 02:45:00+00:00,SELL,4935.2998046875,4840.272943537972,4982.813235262263,4840.272943537972,1978.2223,1.98,1,101888.44,0.0
2026-02-05 09:00:00+00:00,2026-02-05 21:30:00+00:00,SELL,4885.2001953125,4795.557135206699,4930.0217253654,4795.557135206699,2017.3911,1.98,1,103905.83,0.0
2026-02-09 13:00:00+00:00,2026-02-09 13:30:00+00:00,BUY,5043.2998046875,5022.712714285645,5022.712714285645,5084.473985491209,-1059.8395,-1.02,0,102845.99,1.02
2026-02-09 23:00:00+00:00,2026-02-10 00:00:00+00:00,SELL,5038.10009765625,5071.934845291773,5071.934845291773,4970.430602385205,-1049.0291,-1.02,0,101796.96,2.0296
2026-02-10 12:45:00+00:00,2026-02-10 13:30:00+00:00,SELL,5054.89990234375,5075.695663256589,5075.695663256589,5013.308380518072,-1038.329,-1.02,0,100758.63,3.0289
2026-02-10 13:30:00+00:00,2026-02-10 14:45:00+00:00,BUY,5074.89990234375,5051.954019789665,5051.954019789665,5120.791667451921,-1027.7381,-1.02,0,99730.9,4.018
2026-02-10 15:30:00+00:00,2026-02-10 20:45:00+00:00,SELL,5036.7001953125,5068.060456549645,5068.060456549645,4973.97967283821,-1017.2551,-1.02,0,98713.64,4.997
2026-02-12 06:30:00+00:00,2026-02-12 09:00:00+00:00,SELL,5080.0,5096.852374641095,5096.852374641095,5046.29525071781,-1006.8791,-1.02,0,97706.76,5.966
2026-02-12 09:00:00+00:00,2026-02-12 10:45:00+00:00,BUY,5094.89990234375,5079.358118505944,5079.358118505944,5125.983470019362,-996.609,-1.02,0,96710.15,6.9252
2026-02-12 13:30:00+00:00,2026-02-12 14:15:00+00:00,BUY,5098.5,5082.5618780685545,5082.5618780685545,5130.376243862891,-986.4436,-1.02,0,95723.71,7.8746
2026-02-12 14:30:00+00:00,2026-02-12 15:45:00+00:00,SELL,5078.2001953125,5096.961695318203,5096.961695318203,5040.677195301095,-976.3818,-1.02,0,94747.33,8.8142
2026-02-13 10:45:00+00:00,2026-02-13 12:15:00+00:00,SELL,4970.7998046875,4991.824307715218,4991.824307715218,4928.7507986320625,-966.4227,-1.02,0,93780.9,9.7443
2026-02-13 13:30:00+00:00,2026-02-13 16:15:00+00:00,BUY,5005.39990234375,5053.894183510961,4981.152761760144,5053.894183510961,1856.8619,1.98,1,95637.77,7.9573
2026-02-17 13:15:00+00:00,2026-02-17 13:45:00+00:00,SELL,4939.2001953125,4904.32269901022,4956.63894346364,4904.32269901022,1893.6278,1.98,1,97531.39,6.1348
2026-02-19 15:00:00+00:00,2026-02-19 18:30:00+00:00,BUY,5018.39990234375,4994.727019998406,4994.727019998406,5065.745667034438,-994.8202,-1.02,0,96536.57,7.0922
2026-02-23 07:15:00+00:00,2026-02-23 10:15:00+00:00,SELL,5158.0,5175.609269720032,5175.609269720032,5122.781460559937,-984.6731,-1.02,0,95551.9,8.0399
2026-02-23 10:15:00+00:00,2026-02-23 14:00:00+00:00,BUY,5176.60009765625,5163.370628060002,5163.370628060002,5203.0590368487465,-974.6294,-1.02,0,94577.27,8.9779
2026-02-24 01:00:00+00:00,2026-02-24 13:30:00+00:00,SELL,5204.7998046875,5158.344472815303,5228.027470623599,5158.344472815303,1872.63,1.98,1,96449.9,7.1757
2026-02-25 01:00:00+00:00,2026-02-25 20:45:00+00:00,BUY,5192.2998046875,5168.811334000913,5168.811334000913,5239.276746060674,-983.789,-1.02,0,95466.11,8.1225
2026-02-25 20:45:00+00:00,2026-02-25 23:00:00+00:00,SELL,5169.89990234375,5191.6457134199445,5191.6457134199445,5126.408280191362,-973.7543,-1.02,0,94492.36,9.0596
2026-02-27 07:15:00+00:00,2026-02-27 12:00:00+00:00,SELL,5195.39990234375,5206.5056709598575,5206.5056709598575,5173.188365111535,-963.8221,-1.02,0,93528.54,9.9872
2026-03-02 14:15:00+00:00,2026-03-03 01:00:00+00:00,SELL,5347.7001953125,5386.613306720471,5386.613306720471,5269.873972496559,-953.9911,-1.02,0,92574.54,10.9053
2026-03-03 05:45:00+00:00,2026-03-03 09:15:00+00:00,SELL,5331.89990234375,5279.502138686348,5358.098784172451,5279.502138686348,1832.976,1.98,1,94407.52,9.1413
2026-03-05 13:00:00+00:00,2026-03-05 13:15:00+00:00,SELL,5165.89990234375,5135.664534086146,5181.017586472552,5135.664534086146,1869.2689,1.98,1,96276.79,7.3423
2026-03-06 01:00:00+00:00,2026-03-06 01:30:00+00:00,SELL,5085.2998046875,5108.578187587024,5108.578187587024,5038.743038888451,-982.0233,-1.02,0,95294.77,8.2874
2026-03-06 07:15:00+00:00,2026-03-06 09:30:00+00:00,SELL,5123.10009765625,5095.029895614067,5137.135198677342,5095.029895614067,1886.8364,1.98,1,97181.6,6.4715
2026-03-06 14:45:00+00:00,2026-03-08 23:00:00+00:00,BUY,5139.2998046875,5098.667028302443,5098.667028302443,5220.5653574576145,-991.2524,-1.02,0,96190.35,7.4255
2026-03-12 06:30:00+00:00,2026-03-12 13:45:00+00:00,BUY,5174.2998046875,5160.236561254246,5160.236561254246,5202.426291554008,-981.1416,-1.02,0,95209.21,8.3697
2026-03-13 14:30:00+00:00,2026-03-13 14:45:00+00:00,SELL,5084.5,5044.0158171197445,5104.742091440128,5044.0158171197445,1885.1423,1.98,1,97094.35,6.5554
2026-03-16 07:15:00+00:00,2026-03-16 10:00:00+00:00,SELL,5006.60009765625,4975.129664251991,5022.335314358379,4975.129664251991,1922.4682,1.98,1,99016.82,4.7052
2026-03-17 13:30:00+00:00,2026-03-17 13:45:00+00:00,BUY,5032.7001953125,5016.585453246537,5016.585453246537,5064.929679444424,-1009.9716,-1.02,0,98006.85,5.6772
2026-03-18 00:00:00+00:00,2026-03-18 01:00:00+00:00,BUY,5014.0,5004.635957300808,5004.635957300808,5032.728085398385,-999.6698,-1.02,0,97007.18,6.6393
2026-03-18 08:15:00+00:00,2026-03-18 10:30:00+00:00,SELL,4993.2001953125,4967.093605948522,5006.253489994489,4967.093605948522,1920.7421,1.98,1,98927.92,4.7908
2026-03-19 05:30:00+00:00,2026-03-19 06:30:00+00:00,SELL,4835.0,4808.278704668861,4848.36064766557,4808.278704668861,1958.7728,1.98,1,100886.69,2.9056
2026-03-20 08:00:00+00:00,2026-03-20 08:45:00+00:00,BUY,4717.0,4694.021625310307,4694.021625310307,4762.956749379387,-1029.0443,-1.02,0,99857.65,3.896
2026-03-23 11:00:00+00:00,2026-03-23 11:15:00+00:00,BUY,4458.5,4366.940851835961,4366.940851835961,4641.618296328076,-1018.548,-1.02,0,98839.1,4.8763
2026-03-24 00:30:00+00:00,2026-03-24 06:15:00+00:00,SELL,4346.5,4395.052708689484,4395.052708689484,4249.394582621034,-1008.1588,-1.02,0,97830.94,5.8465
2026-03-24 12:30:00+00:00,2026-03-24 14:15:00+00:00,SELL,4368.89990234375,4411.594962223232,4411.594962223232,4283.509782584785,-997.8756,-1.02,0,96833.07,6.8069
2026-03-24 14:45:00+00:00,2026-03-24 17:30:00+00:00,BUY,4416.2998046875,4375.190139836628,4375.190139836628,4498.519134389245,-987.6973,-1.02,0,95845.37,7.7575
2026-03-24 20:15:00+00:00,2026-03-24 23:30:00+00:00,BUY,4456.89990234375,4532.38114717557,4419.1592799278405,4532.38114717557,1897.7383,1.98,1,97743.11,5.9311
2026-03-25 08:15:00+00:00,2026-03-25 09:45:00+00:00,BUY,4565.2998046875,4543.835331091803,4543.835331091803,4608.228751878894,-996.9797,-1.02,0,96746.13,6.8906
2026-03-25 09:45:00+00:00,2026-03-25 11:15:00+00:00,SELL,4550.39990234375,4573.4271953292555,4573.4271953292555,4504.345316372738,-986.8105,-1.02,0,95759.32,7.8403
2026-03-25 13:45:00+00:00,2026-03-25 14:45:00+00:00,SELL,4543.2998046875,4573.522147913886,4573.522147913886,4482.855118234726,-976.745,-1.02,0,94782.57,8.7803
2026-03-26 13:45:00+00:00,2026-03-26 16:15:00+00:00,BUY,4450.10009765625,4420.352048037226,4420.352048037226,4509.5961968942975,-966.7822,-1.02,0,93815.79,9.7108
