entry_time,exit_time,side,entry_price,exit_price,sl_price,tp_price,pnl_usd,pnl_pct,win,balance,drawdown_pct
2024-01-12,2024-01-17,BUY,2046.699951171875,2017.126238638044,2017.126238638044,2105.847376239537,-1020.0,-1.02,0,98980.0,1.02
2024-01-17,2024-01-19,SELL,2002.5999755859375,2034.5851330132582,2034.5851330132582,1938.6296607312963,-1009.596,-1.02,0,97970.4,2.0296
2025-07-30,2025-08-01,SELL,3295.800048828125,3352.853957446134,3352.853957446134,3181.692231592107,-999.2981,-1.02,0,96971.11,3.0289
2026-03-18,2026-03-19,SELL,4889.89990234375,4583.619234731733,5043.040236149758,4583.619234731733,1920.0279,1.98,1,98891.13,1.1089
