feature,importance
27,0.023741172329838283
39,0.02328425168708715
11,0.023230273609723226
29,0.023141216201270458
23,0.022997082198426375
19,0.0228928565774977
17,0.022762220389104235
25,0.02273871173314534
31,0.022717889894529348
37,0.02269891829616393
33,0.022684767123238532
13,0.02255287174084459
21,0.02253464520512463
41,0.02240346465567055
9,0.022362047026243892
7,0.022319806979070336
15,0.02225211351690043
5,0.02196314774927795
3,0.02183778909724356
35,0.021798505355282997
64,0.021745433609503935
54,0.021719949304081967
55,0.020955671253793027
63,0.020815188533222326
44,0.020505082469656172
59,0.020112617136440393
1,0.019755548245852055
58,0.019305106596864314
0,0.01905489638945432
62,0.018696952922297182
47,0.018610075442991956
56,0.018535271986283523
53,0.018084207070454716
50,0.018068240278348597
57,0.017912221652763263
65,0.012566590933803232
51,0.008829685883376919
60,0.0087709801259291
38,0.008722253055398274
28,0.008612262214124663
40,0.008485132988016793
2,0.00847643545155244
36,0.008467168527539651
6,0.008466361892795796
32,0.008396350019814517
26,0.008291611516778456
4,0.008285229915725549
34,0.008247354239147778
24,0.008204473568488614
30,0.008198822731220653
61,0.00815381689696331
8,0.00812905801429633
10,0.008105927315597632
16,0.008049786612186369
12,0.007995512278439176
14,0.007836335967272892
52,0.007753141668950372
22,0.00769690224807096
18,0.00762527183949241
20,0.00760064829692649
42,0.007512596018711102
45,0.007423091285393334
43,0.0071602863353524265
49,0.0071505722746510484
48,0.007037495175701612
46,0.0069586304505907335
