feature,importance
19,0.041208804239286384
1,0.03744573450549996
0,0.03577141595413063
9,0.034372425919801566
39,0.028565660421290388
27,0.027217876945679738
37,0.02531104318522236
29,0.025002604560719687
3,0.02434126964262333
33,0.024041324449861814
25,0.023752417986787427
7,0.0228510333136486
17,0.022849730573461114
31,0.02254309521662414
64,0.022339492728140363
50,0.022004924018462022
23,0.021054486462523725
47,0.020422369345481584
65,0.019866369584439002
24,0.019496875406883538
60,0.018194849461726833
21,0.018173470158619823
41,0.018134134956796784
15,0.01650477521019103
11,0.01625892961943562
43,0.015186019446908979
44,0.014198817530924255
22,0.013811109807895496
12,0.013145646499800672
13,0.01295000770804878
5,0.012247296712862963
63,0.012109062115126397
2,0.01193814014041459
4,0.01181152686373714
20,0.011496190165060786
58,0.011291806722714647
14,0.011035202397006495
10,0.010673740177824725
59,0.010631058894149548
28,0.01026041792816375
61,0.010185959656202694
57,0.010160202505237859
18,0.010148952836896786
40,0.010049586785252534
56,0.009751044443604194
54,0.009675504904259578
35,0.0095667544754712
55,0.009313551093380501
62,0.009267147083470446
34,0.00914745739653551
42,0.00908098413514494
48,0.008819662425192616
51,0.008416202436732698
30,0.008378261884769114
53,0.008333530831683205
52,0.008252188615541113
26,0.007604326124730515
46,0.007239346144088541
32,0.007196288692097161
49,0.007037493188376458
6,0.006442765516632202
8,0.006234674186301417
38,0.00545455398055388
36,0.005047692310038896
16,0.004645688709483055
45,0.004039022660346189
