feature,importance
7,0.030942644718494214
33,0.02911224472267078
15,0.02764406878679789
11,0.026993814864986615
29,0.02530420264048115
37,0.025222994594796752
44,0.02350705850872715
9,0.022863406446744988
41,0.022699633977632173
47,0.02242276920870729
63,0.02136559284192103
31,0.02104753981970136
53,0.02090160091029465
5,0.02051023250675802
13,0.02039278184956034
62,0.019574775253030984
56,0.019315890212645098
19,0.01905461896204407
35,0.01869181468482129
3,0.018540111597467327
59,0.018092700086391626
55,0.01807744844724726
25,0.018043410580088105
1,0.018031754335673122
0,0.0177151400161244
27,0.01752856918818996
64,0.017442988112156346
54,0.016675966976116233
50,0.016541745241425727
39,0.016467175142014956
21,0.016153551718682525
23,0.015864565434976156
17,0.014999824079049697
65,0.014595390388343319
57,0.013711996529151678
61,0.013662324610684904
58,0.01312340716893231
34,0.012661921488776949
40,0.011806950092495152
30,0.011664231402482919
46,0.011392194111542946
4,0.011110418457431796
8,0.010945589350190736
16,0.010433322789362518
28,0.010251520650661958
45,0.010067762133535042
32,0.00995961715072174
42,0.009908294497194844
60,0.009806175934272226
52,0.009697889004973488
22,0.009586194378358866
38,0.00949933166987986
12,0.009375162951990196
6,0.008851214205561068
43,0.00872280417515729
49,0.008440250476720512
20,0.008387684167204456
26,0.007962794738393236
2,0.007773624300591904
14,0.007756210133597939
24,0.007585987823146321
18,0.00758208330283701
10,0.007211398634490288
36,0.006641789008170561
48,0.006614724745442613
51,0.005467103061284095
