feature,importance
6,0.031798597
61,0.027509263
10,0.023876235
40,0.022947157
18,0.02248345
38,0.022383701
29,0.021319555
57,0.02105189
62,0.020742856
15,0.020396695
32,0.020084003
14,0.020063048
41,0.018852869
8,0.018715803
28,0.01854465
50,0.018027985
37,0.017952535
52,0.017949494
17,0.017919142
59,0.017776085
55,0.017160932
44,0.017039165
7,0.017017193
36,0.016999625
20,0.016922325
9,0.016888944
34,0.016886195
11,0.016870061
64,0.01682608
42,0.016705055
56,0.01643425
31,0.016108518
4,0.01607422
58,0.01584421
5,0.015616143
53,0.014771455
24,0.014757678
47,0.014662299
13,0.01426841
26,0.014113699
54,0.014101657
23,0.014040107
27,0.01374705
16,0.0134870885
0,0.01340799
60,0.013330432
3,0.013195272
19,0.013097266
35,0.013028606
25,0.011489262
51,0.0107634645
63,0.010762295
45,0.010469393
21,0.010363726
1,0.01032538
39,0.009951494
33,0.009860567
30,0.0096536195
65,0.008873817
12,0.008581156
2,0.007609133
43,0.007144106
49,0.006050756
22,0.0043048784
48,0.0
46,0.0
